Facility Name,CMS Certification Number,Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Hemoglobin Eligible Patients Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Hemoglobin Eligible Patients Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,URR Measure Score,URR Performance Period Rate,Number of URR Eligible Patients Performance Period,URR Baseline Period Rate,Number of URR Eligible Patients Baseline Period,URR Performance Score Applied,Fistula Measure Score,Fistula Performance Period Rate,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Total Performance Score,PY2014 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2012",Date of ownership record update
FMC CAPITOL CITY,012500,,,,255 SOUTH JACKSON STREET,,MONTGOMERY,AL,36104,8,10,0%,81,5%,92,Achievement,10,100%,69,99%,72,Achievement,2,49%,819,41%,813,Improvement,7,10%,763,13%,592,Achievement,5%,10,10,10,85%,No reduction,09/01/1976,FRESENIUS MEDICAL CARE,03/06/2012
GADSDEN DIALYSIS,012501,,,,409 SOUTH FIRST STREET,,GADSDEN,AL,35901,8,10,0%,65,1%,82,Achievement,10,100%,72,90%,81,Achievement,9,71%,763,57%,956,Achievement,8,9%,744,14%,667,Achievement,9%,10,10,10,97%,No reduction,09/01/1976,GAMBRO HEALTHCARE,11/18/2009
TUSCALOOSA UNIVERSITY DIALYSIS,012502,,,,220 15TH STREET,,TUSCALOOSA,AL,35401,8,10,0%,81,0%,90,Achievement,10,100%,83,92%,78,Achievement,1,48%,965,45%,894,Achievement,10,4%,918,4%,618,Achievement,6%,10,10,10,88%,No reduction,10/21/1977,GAMBRO HEALTHCARE,11/17/2009
PCD MONTGOMERY,012505,,,,1001 FOREST AVENUE,,MONTGOMERY,AL,36106,8,10,0%,87,2%,94,Achievement,10,100%,81,100%,72,Achievement,3,53%,908,43%,832,Achievement,10,4%,871,12%,572,Achievement,7%,10,10,10,91%,No reduction,12/14/1977,DAVITA,03/16/2012
DOTHAN DIALYSIS,012506,,,,216 GRACELAND DRIVE,,DOTHAN,AL,36305,8,9,1%,75,1%,90,Achievement,7,98%,56,97%,67,Achievement,4,57%,728,52%,794,Achievement,10,4%,692,4%,557,Achievement,7%,10,10,10,79%,No reduction,11/28/1977,GAMBRO HEALTHCARE,10/24/2009
FMC MOBILE,012507,,,,2620 OLD SHELL ROAD,,MOBILE,AL,36607,8,10,0%,62,3%,64,Achievement,10,100%,69,100%,70,Achievement,1,47%,723,49%,723,Achievement,10,5%,675,6%,505,Achievement,6%,10,10,10,88%,No reduction,01/04/1979,FRESENIUS MEDICAL CARE,03/06/2012
BIRMINGHAM EAST DIALYSIS,012508,,,,1105 EAST PARK DRIVE,,BIRMINGHAM,AL,35235,8,10,0%,63,2%,64,Achievement,10,100%,60,97%,59,Achievement,1,49%,673,50%,673,Achievement,6,12%,634,14%,474,Achievement,4%,10,10,10,82%,No reduction,06/28/1979,GAMBRO HEALTHCARE,01/02/1980
FMC NORTH ALABAMA,012509,,,,1311 NORTH MEMORIAL PARKWAY #200,,HUNTSVILLE,AL,35801,8,9,1%,81,2%,84,Achievement,10,100%,57,100%,70,Achievement,7,67%,717,61%,752,Achievement,10,4%,664,10%,538,Achievement,9%,10,10,10,94%,No reduction,07/16/1979,FRESENIUS MEDICAL CARE,03/06/2012
FMC SELMA,012512,,,,905 MEDICAL CENTER PARKWAY,,SELMA,AL,36701,8,10,0%,48,2%,50,Achievement,7,98%,47,100%,50,Achievement,0,44%,562,45%,556,Achievement,6,13%,541,14%,397,Achievement,3%,10,10,10,70%,No reduction,08/25/1980,FRESENIUS MEDICAL CARE,01/02/1980
FMC LANGDALE,012513,,,,8 MEDICAL PARK,,VALLEY,AL,36854,8,8,2%,47,2%,48,Achievement,10,100%,54,100%,52,Achievement,10,89%,599,86%,592,Achievement,10,3%,565,4%,428,Achievement,10%,10,10,0,91%,No reduction,02/12/1981,FRESENIUS MEDICAL CARE,10/10/2009
FMC OPELIKA,012515,,,,2609 VILLAGE PROFESSIONAL DRIVE,STE 2,OPELIKA,AL,36801,8,9,1%,77,1%,89,Achievement,10,100%,62,100%,81,Achievement,10,80%,757,82%,870,Achievement,10,4%,726,3%,626,Achievement,10%,10,10,10,97%,No reduction,09/07/1982,FRESENIUS MEDICAL CARE,03/06/2012
DSI SOUTH DIALYSIS,012516,,,,3201 3RD AVENUE SOUTH,,BIRMINGHAM,AL,35222,8,10,0%,35,4%,25,Achievement,10,100%,29,100%,26,Achievement,2,32%,340,18%,291,Improvement,7,11%,321,11%,204,Achievement,5%,10,10,10,85%,No reduction,12/02/1982,NATIONAL RENAL INSTITUTES,03/06/2012
ATHENS DIALYSIS,012517,,,,15953 ATHENS LIMESTONE DRIVE,,ATHENS,AL,35613,8,10,0%,52,10%,72,Achievement,10,100%,50,94%,66,Achievement,8,69%,619,62%,793,Achievement,9,6%,595,4%,556,Achievement,9%,10,10,0,94%,No reduction,01/21/1983,GAMBRO HEALTHCARE,03/06/2012
FMC SCOTTSBORO,012519,,,,20998 JOHN T REID HIGHWAY,,SCOTTSBORO,AL,35768,8,8,2%,43,3%,38,Achievement,10,100%,48,100%,36,Achievement,10,84%,546,69%,384,Achievement,10,4%,505,2%,260,Achievement,10%,10,10,10,94%,No reduction,11/05/1984,FRESENIUS MEDICAL CARE,03/06/2012
FMC TROY,012520,,,,606 BOTTS AVENUE,,TROY,AL,36081,8,8,2%,58,0%,60,Achievement,5,97%,59,100%,56,Achievement,1,47%,691,46%,652,Achievement,6,12%,676,18%,467,Achievement,4%,10,10,10,61%,No reduction,11/19/1984,FRESENIUS MEDICAL CARE,03/06/2012
DCI DOTHAN,012521,,,,1630 COLUMBIA HIGHWAY,,DOTHAN,AL,36303,8,10,0%,94,1%,88,Achievement,8,99%,81,96%,70,Achievement,3,53%,923,47%,825,Achievement,8,8%,871,9%,586,Achievement,6%,10,10,10,82%,No reduction,03/11/1985,"DIALYSIS CLINIC, INC.",03/06/2012
FMC HUNTSVILLE,012522,,,,2325 PANSY STREET,SUITE C,HUNTSVILLE,AL,35801,8,6,4%,55,4%,55,Achievement,10,100%,60,97%,62,Achievement,6,62%,667,57%,600,Achievement,7,10%,613,8%,379,Achievement,7%,10,10,10,79%,No reduction,08/20/1985,FRESENIUS MEDICAL CARE,03/06/2012
PHENIX CITY DIALYSIS,012523,,,,1900 OPELIKA ROAD,,PHENIX CITY,AL,36867,8,10,0%,64,2%,63,Achievement,10,100%,58,96%,52,Achievement,3,53%,647,50%,563,Achievement,9,6%,618,6%,395,Achievement,6%,10,10,10,88%,No reduction,09/23/1985,DAVITA,03/06/2012
FMC EAST MOBILE,012524,,,,1217 GOVERNMENT STREET,,MOBILE,AL,36604,8,10,0%,101,1%,83,Achievement,10,100%,69,100%,42,Achievement,6,62%,838,53%,385,Achievement,10,5%,803,8%,263,Achievement,8%,10,10,10,94%,No reduction,12/01/1985,FRESENIUS MEDICAL CARE,03/06/2012
FMC WEST MOBILE,012525,,,,6601 WALL STREET,SUITE A,MOBILE,AL,36695,8,10,0%,56,0%,71,Achievement,10,100%,62,99%,73,Achievement,8,68%,715,68%,717,Achievement,10,2%,668,6%,489,Achievement,9%,10,10,10,97%,No reduction,12/02/1985,FRESENIUS MEDICAL CARE,03/06/2012
RCG PRINCETON,012526,,,,708 COTTON AVENUE SOUTHWEST,,BIRMINGHAM,AL,35211,8,10,0%,100,4%,116,Achievement,10,100%,72,100%,78,Achievement,2,50%,977,54%,914,Achievement,10,3%,925,6%,632,Achievement,6%,10,10,10,88%,No reduction,09/18/1985,RENAL CARE GROUP INC.,03/06/2012
DCI ENTERPRISE,012527,,,,3861 SALEM ROAD,,ENTERPRISE,AL,36330,8,10,0%,70,0%,73,Achievement,10,100%,69,97%,73,Achievement,5,61%,816,54%,828,Achievement,9,7%,774,12%,587,Achievement,7%,10,10,10,91%,No reduction,07/04/1986,"DIALYSIS CLINIC, INC.",04/02/2009
